,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Consumer,14.0,0.0,239.11712999999997,15.0,0.544433,103.31505600000001,14.0,0.0,239.11712999999997,16.0,0.0,183.3303,14.0,0.0,239.11712999999997
EcologicalConsumer,14.0,0.0,260.93102999999996,14.0,0.0,102.88343,14.0,0.0,260.93102999999996,16.0,0.0,85.90693,15.0,0.544433,102.88343
Consumer,16.0,0.0,110.47623999999999,16.0,0.0,157.20686,17.0,0.0,216.66795,14.0,0.0,330.79602,16.0,0.0,110.47623999999999
LazyConsumer,14.0,0.0,122.33152,16.0,0.0,221.81975,16.0,0.0,169.92056000000002,17.0,0.0,108.0,14.0,0.0,169.92056000000002
LazyConsumer,14.0,0.0,101.133575,16.0,0.544433,183.17203999999998,14.0,0.544433,101.133575,14.0,0.544433,183.17203999999998,17.0,0.0,139.81773
EcologicalConsumer,14.0,0.0,155.87816,14.0,0.0,127.91403000000001,14.0,0.544433,155.87816,14.0,0.0,127.91403000000001,16.0,0.544433,206.65188999999998
EcologicalConsumer,17.0,0.0,211.0853,14.0,0.544433,270.08517,15.0,0.0,109.07796,14.0,0.0,270.08517,16.0,0.0,86.46965
Consumer,16.0,0.0,158.47397,17.0,0.0,110.67971999999999,16.0,0.0,158.47397,16.0,0.0,113.40635,17.0,0.0,101.04455
LazyConsumer,14.0,0.0,117.18361999999999,14.0,0.0,180.0,17.0,0.0,142.28493,14.0,0.0,233.02576000000002,17.0,0.0,109.65856000000001
EcologicalConsumer,15.0,0.0,110.6752,10.0,1.0,337.92307,15.0,0.0,110.6752,13.0,0.0,160.86018,15.0,0.0,110.6752
LazyConsumer,16.0,0.0,147.411,14.0,0.544433,182.7813,16.0,0.544433,147.411,16.0,0.544433,136.35981999999998,16.0,0.0,147.411
LazyConsumer,16.0,0.0,93.39165,16.0,0.0,234.20077999999998,16.0,0.544433,93.39165,15.0,0.544433,234.20077999999998,16.0,0.0,93.39165
Consumer,14.0,0.0,147.75656,15.0,0.0,175.44513999999998,15.0,0.0,175.44513999999998,17.0,0.0,110.47623999999999,16.0,0.544433,110.02273000000001
Consumer,15.0,0.544433,165.70154,16.0,0.0,115.66331000000001,15.0,0.0,165.70154,17.0,0.0,226.38463,15.0,0.0,165.70154
Consumer,14.0,0.0,321.3098,16.0,0.0,103.87011,16.0,0.0,103.87011,14.0,0.0,321.3098,14.0,0.0,148.55302
EcologicalConsumer,15.0,0.0,102.88343,13.0,0.544433,260.93102999999996,13.0,0.0,152.97058,15.0,0.0,102.88343,16.0,0.0,85.90693
Consumer,17.0,0.0,104.21611999999999,14.0,0.0,142.27438,15.0,0.0,127.349915,14.0,0.0,142.27438,16.0,0.0,175.51353
LazyConsumer,17.0,0.0,256.84625,14.0,0.0,143.62798999999998,15.0,0.544433,143.62798999999998,16.0,0.0,99.00505,17.0,0.0,317.24597
EcologicalConsumer,13.0,0.0,124.88795,15.0,0.0,155.87816,13.0,0.0,124.88795,16.0,0.0,206.65188999999998,13.0,0.0,124.88795
LazyConsumer,15.0,0.0,99.8599,13.0,0.544433,128.40561,15.0,0.0,91.787796,13.0,0.544433,227.30817000000002,15.0,0.0,91.787796
LazyConsumer,14.0,0.0,193.49419,16.0,0.0,143.54442,14.0,0.0,133.66002,14.0,0.544433,193.49419,16.0,0.544433,133.66002
EcologicalConsumer,15.0,0.0,102.61579,16.0,0.0,99.92497,13.0,0.0,144.04514,13.0,0.544433,244.23349,14.0,0.0,144.04514
LazyConsumer,16.0,0.0,105.68822,14.0,0.0,96.42095,17.0,0.0,130.66751000000002,15.0,0.544433,96.42095,16.0,0.0,105.68822
EcologicalConsumer,17.0,0.0,187.83237,14.0,0.0,244.23349,16.0,0.0,99.92497,14.0,0.0,244.23349,14.0,0.0,102.61579
EcologicalConsumer,13.0,0.544433,270.08517,14.0,0.0,161.07452,13.0,0.0,270.08517,12.0,0.8843495000000001,161.07452,16.0,0.0,86.46965
EcologicalConsumer,17.0,0.0,141.48145,15.0,0.0,234.46321,14.0,0.0,113.14591999999999,17.0,0.0,180.64883,17.0,0.0,180.64883
LazyConsumer,14.0,0.0,103.768974,14.0,0.544433,235.96822000000003,15.0,0.0,100.62306,14.0,0.0,235.96822000000003,14.0,0.0,103.768974
EcologicalConsumer,13.0,1.0,173.44163999999998,14.0,0.27414954,129.84991000000002,14.0,0.27414954,173.44163999999998,13.0,0.59103215,129.84991000000002,10.0,1.0,173.44163999999998
LazyConsumer,13.0,0.0,139.81773,15.0,0.0,183.17203999999998,16.0,0.0,239.17567000000003,13.0,0.0,139.81773,15.0,0.0,183.17203999999998
EcologicalConsumer,17.0,0.0,199.7198,17.0,0.0,112.89375,16.0,0.544433,199.7198,14.0,0.0,255.6658,16.0,0.0,199.7198
Consumer,14.0,0.0,195.89793,14.0,0.0,129.41792,14.0,0.0,195.89793,14.0,0.0,129.41792,14.0,0.0,145.16541999999998
LazyConsumer,14.0,0.544433,170.01764,17.0,0.0,96.42095,14.0,0.0,107.37783999999999,14.0,0.544433,170.01764,14.0,0.0,107.37783999999999
EcologicalConsumer,16.0,0.0,168.60011,14.0,0.0,222.74873,17.0,0.0,100.04499,17.0,0.0,130.69812,17.0,0.0,100.04499
LazyConsumer,17.0,0.0,129.84991000000002,17.0,0.0,170.01764,17.0,0.0,129.84991000000002,17.0,0.0,170.01764,17.0,0.544433,129.84991000000002
LazyConsumer,14.0,0.0,310.2209,15.0,0.544433,140.80128,16.0,0.0,100.57833000000001,14.0,0.544433,310.2209,16.0,0.0,100.57833000000001
EcologicalConsumer,14.0,0.544433,173.44163999999998,11.0,1.0,119.47385,17.0,0.0,129.84991000000002,14.0,0.0,173.44163999999998,16.0,0.0,157.26729
Consumer,15.0,0.0,113.88591000000001,16.0,0.0,103.58089,13.0,0.0,157.95253,15.0,0.0,113.88591000000001,14.0,0.544433,157.95253
EcologicalConsumer,14.0,0.0,286.5589,17.0,0.0,123.22336999999999,17.0,0.0,227.63348,16.0,0.0,93.193344,17.0,0.0,123.22336999999999
EcologicalConsumer,16.0,0.0,122.41323,15.0,0.0,106.16968,17.0,0.0,165.30275,14.0,0.544433,217.41205,14.0,0.0,122.41323
LazyConsumer,14.0,0.544433,172.4094,17.0,0.0,123.10971,14.0,0.0,172.4094,17.0,0.0,123.10971,17.0,0.0,101.607086
Consumer,11.0,1.0,113.40635,14.0,0.27414954,110.67971999999999,13.0,0.64788073,113.40635,14.0,0.50581104,155.03871,15.0,0.0,101.04455
Consumer,14.0,0.0,289.99484,14.0,0.0,121.37957,16.0,0.544433,86.833176,17.0,0.0,230.07825,17.0,0.0,230.07825
LazyConsumer,15.0,0.0,180.0,14.0,0.0,142.28493,13.0,0.0,117.18361999999999,12.0,0.8843495000000001,142.28493,15.0,0.0,180.0
LazyConsumer,13.0,1.0,203.78911000000002,13.0,0.0,107.07941000000001,13.0,1.0,153.4829,14.0,0.64703655,107.07941000000001,15.0,0.0,131.04578999999998
EcologicalConsumer,17.0,0.0,183.00273,16.0,0.0,113.14591999999999,14.0,0.544433,237.03375,17.0,0.0,143.95139,14.0,0.0,237.03375
Consumer,15.0,0.544433,116.38728,17.0,0.0,121.23530600000001,14.0,0.0,210.20228999999998,17.0,0.0,96.42095,14.0,0.0,210.20228999999998
